time,north_vehicles,west_vehicles,north_congestion,west_congestion,north_emission,west_emission,north_score,west_score,agent_action,congestion_level
0,0,1,0.0,1.0,0.0,2.0,0.0,3.0,WEST_GREEN,LOW
20,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
40,1,6,1.0,2.95,2.0,5.9,3.0,8.85,WEST_GREEN,MEDIUM
60,1,2,1.0,2.0,2.0,4.0,3.0,6.0,WEST_GREEN,LOW
80,5,0,4.62,0.0,9.24,0.0,13.86,0.0,NORTH_GREEN,MEDIUM
100,6,2,4.62,2.0,9.24,4.0,13.86,6.0,NORTH_GREEN,MEDIUM
120,6,0,4.62,0.0,9.24,0.0,13.86,0.0,NORTH_GREEN,MEDIUM
140,3,5,3.0,2.95,6.0,5.9,9.0,8.85,NORTH_GREEN,MEDIUM
160,2,6,2.0,2.95,4.0,5.9,6.0,8.85,WEST_GREEN,MEDIUM
180,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
200,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
220,3,2,3.0,2.0,6.0,4.0,9.0,6.0,NORTH_GREEN,MEDIUM
240,6,2,4.62,2.0,9.24,4.0,13.86,6.0,NORTH_GREEN,MEDIUM
260,6,1,4.62,1.0,9.24,2.0,13.86,3.0,NORTH_GREEN,MEDIUM
280,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
300,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
320,1,6,1.0,2.95,2.0,5.9,3.0,8.85,WEST_GREEN,MEDIUM
340,5,4,4.62,2.95,9.24,5.9,13.86,8.85,NORTH_GREEN,MEDIUM
360,6,2,4.62,2.0,9.24,4.0,13.86,6.0,NORTH_GREEN,MEDIUM
380,6,1,4.62,1.0,9.24,2.0,13.86,3.0,NORTH_GREEN,MEDIUM
400,3,5,3.0,2.95,6.0,5.9,9.0,8.85,NORTH_GREEN,MEDIUM
420,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
440,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
460,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
480,5,3,4.62,2.95,9.24,5.9,13.86,8.85,NORTH_GREEN,MEDIUM
500,6,2,4.62,2.0,9.24,4.0,13.86,6.0,NORTH_GREEN,MEDIUM
520,6,1,4.62,1.0,9.24,2.0,13.86,3.0,NORTH_GREEN,MEDIUM
540,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
560,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
580,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
600,4,4,4.0,2.95,8.0,5.9,12.0,8.85,NORTH_GREEN,MEDIUM
620,6,3,4.62,2.95,9.24,5.9,13.86,8.85,NORTH_GREEN,MEDIUM
640,6,1,4.62,1.0,9.24,2.0,13.86,3.0,NORTH_GREEN,MEDIUM
660,1,5,1.0,2.95,2.0,5.9,3.0,8.85,WEST_GREEN,MEDIUM
680,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
700,1,6,1.0,2.95,2.0,5.9,3.0,8.85,WEST_GREEN,MEDIUM
720,6,1,4.62,1.0,9.24,2.0,13.86,3.0,NORTH_GREEN,MEDIUM
740,6,1,4.62,1.0,9.24,2.0,13.86,3.0,NORTH_GREEN,MEDIUM
760,6,2,4.62,2.0,9.24,4.0,13.86,6.0,NORTH_GREEN,MEDIUM
780,1,6,1.0,2.95,2.0,5.9,3.0,8.85,WEST_GREEN,MEDIUM
800,0,6,0.0,2.95,0.0,5.9,0.0,8.85,WEST_GREEN,MEDIUM
820,1,6,1.0,2.95,2.0,5.9,3.0,8.85,WEST_GREEN,MEDIUM
840,4,3,4.0,2.95,8.0,5.9,12.0,8.85,NORTH_GREEN,MEDIUM
860,6,2,4.62,2.0,9.24,4.0,13.86,6.0,NORTH_GREEN,MEDIUM
880,6,0,4.62,0.0,9.24,0.0,13.86,0.0,NORTH_GREEN,MEDIUM
900,2,6,2.0,2.95,4.0,5.9,6.0,8.85,WEST_GREEN,MEDIUM
920,2,6,2.0,2.95,4.0,5.9,6.0,8.85,WEST_GREEN,MEDIUM
