vehicle_id,x,y,speed
flow0.29,16.79,-2.27,0.0
flow0.30,9.29,-2.32,0.0
flow0.31,1.79,-2.38,0.0
flow0.32,-5.71,-2.44,0.0
flow0.33,-26.5,6.33,0.0
flow0.34,-26.52,13.83,0.0
flow0.35,-26.55,21.33,0.0
flow0.36,-26.57,28.83,0.0
flow1.46,-13.22,-2.5,0.0
flow1.47,-23.5,-9.11,0.0
flow1.48,-23.7,-16.64,0.08
flow2.45,33.17,1.04,0.0
flow2.46,40.67,1.08,0.0
flow2.47,48.17,1.13,0.0
flow2.48,55.67,1.18,0.01
flow3.23,-16.68,0.68,0.0
flow3.24,-9.18,0.73,0.0
flow3.25,-1.68,0.79,0.0
flow3.26,5.82,0.85,0.0
flow3.27,26.6,-8.83,0.0
flow3.28,26.6,-16.33,0.0
flow3.29,26.6,-23.83,0.0
flow3.30,26.6,-31.33,0.0
