time,j0_queue,j1_queue,total_vehicles,congestion_level,agent_action
1.0,2,2,4,LOW,MONITORING
2.0,2,2,4,LOW,MONITORING
3.0,2,2,4,LOW,MONITORING
4.0,0,1,1,LOW,MONITORING
5.0,0,1,1,LOW,MONITORING
6.0,0,1,1,LOW,MONITORING
7.0,0,1,1,LOW,MONITORING
8.0,0,1,1,LOW,MONITORING
9.0,0,1,1,LOW,MONITORING
10.0,0,1,1,LOW,MONITORING
11.0,0,1,1,LOW,MONITORING
12.0,0,1,1,LOW,MONITORING
13.0,2,3,5,MEDIUM,MONITORING
14.0,2,3,5,MEDIUM,MONITORING
15.0,2,2,4,LOW,MONITORING
16.0,0,2,2,LOW,MONITORING
17.0,0,2,2,LOW,MONITORING
18.0,0,2,2,LOW,MONITORING
19.0,0,2,2,LOW,MONITORING
20.0,0,2,2,LOW,MONITORING
21.0,0,2,2,LOW,MONITORING
22.0,0,2,2,LOW,MONITORING
23.0,0,2,2,LOW,MONITORING
24.0,0,2,2,LOW,MONITORING
25.0,2,4,6,MEDIUM,MONITORING
26.0,2,4,6,MEDIUM,MONITORING
27.0,2,3,5,MEDIUM,MONITORING
28.0,0,3,3,LOW,MONITORING
29.0,0,3,3,LOW,MONITORING
30.0,0,3,3,LOW,MONITORING
31.0,0,3,3,LOW,MONITORING
32.0,0,3,3,LOW,MONITORING
33.0,0,3,3,LOW,MONITORING
34.0,0,3,3,LOW,MONITORING
35.0,0,3,3,LOW,MONITORING
36.0,0,3,3,LOW,MONITORING
37.0,2,5,7,MEDIUM,MONITORING
38.0,2,5,7,MEDIUM,MONITORING
39.0,2,5,7,MEDIUM,MONITORING
40.0,0,4,4,LOW,MONITORING
41.0,0,4,4,LOW,MONITORING
42.0,0,4,4,LOW,MONITORING
43.0,0,4,4,LOW,MONITORING
44.0,0,4,4,LOW,MONITORING
45.0,0,4,4,LOW,MONITORING
46.0,0,4,4,LOW,MONITORING
47.0,0,4,4,LOW,MONITORING
48.0,0,4,4,LOW,MONITORING
49.0,2,5,7,MEDIUM,MONITORING
50.0,2,4,6,MEDIUM,MONITORING
51.0,2,4,6,MEDIUM,MONITORING
52.0,1,4,5,MEDIUM,MONITORING
53.0,1,4,5,MEDIUM,MONITORING
54.0,1,3,4,LOW,MONITORING
55.0,1,3,4,LOW,MONITORING
56.0,1,3,4,LOW,MONITORING
57.0,1,2,3,LOW,MONITORING
58.0,1,3,4,LOW,MONITORING
59.0,1,2,3,LOW,MONITORING
60.0,1,2,3,LOW,MONITORING
61.0,3,4,7,MEDIUM,MONITORING
62.0,3,3,6,MEDIUM,MONITORING
63.0,3,3,6,MEDIUM,MONITORING
64.0,2,3,5,MEDIUM,MONITORING
65.0,2,2,4,LOW,MONITORING
66.0,2,2,4,LOW,MONITORING
67.0,2,2,4,LOW,MONITORING
68.0,2,2,4,LOW,MONITORING
69.0,2,2,4,LOW,MONITORING
70.0,2,2,4,LOW,MONITORING
71.0,2,2,4,LOW,MONITORING
72.0,2,2,4,LOW,MONITORING
73.0,4,4,8,MEDIUM,MONITORING
74.0,4,4,8,MEDIUM,MONITORING
75.0,4,4,8,MEDIUM,MONITORING
76.0,3,3,6,MEDIUM,MONITORING
77.0,3,3,6,MEDIUM,MONITORING
78.0,3,3,6,MEDIUM,MONITORING
79.0,3,3,6,MEDIUM,MONITORING
80.0,3,3,6,MEDIUM,MONITORING
81.0,3,3,6,MEDIUM,MONITORING
82.0,3,3,6,MEDIUM,MONITORING
83.0,3,3,6,MEDIUM,MONITORING
84.0,3,3,6,MEDIUM,MONITORING
85.0,5,5,10,HIGH,MONITORING
86.0,5,5,10,HIGH,MONITORING
87.0,5,5,10,HIGH,MONITORING
88.0,5,4,9,MEDIUM,MONITORING
89.0,5,4,9,MEDIUM,MONITORING
90.0,5,4,9,MEDIUM,MONITORING
91.0,5,3,8,MEDIUM,MONITORING
92.0,5,3,8,MEDIUM,MONITORING
93.0,5,3,8,MEDIUM,MONITORING
94.0,5,2,7,MEDIUM,MONITORING
95.0,3,2,5,MEDIUM,MONITORING
96.0,3,2,5,MEDIUM,MONITORING
97.0,4,3,7,MEDIUM,MONITORING
98.0,4,3,7,MEDIUM,MONITORING
99.0,4,3,7,MEDIUM,MONITORING
100.0,3,3,6,MEDIUM,MONITORING
