time,left_vehicles,right_vehicles,top_vehicles,horizontal_vehicles,vertical_vehicles,total_vehicles,priority_direction,agent_action,congestion_level
0,0,1,1,1,1,2,TOP,VERTICAL_GREEN,LOW
1,0,2,1,2,1,3,RIGHT,HORIZONTAL_GREEN,LOW
2,0,2,1,2,1,3,RIGHT,HORIZONTAL_GREEN,LOW
3,0,3,2,3,2,5,RIGHT,HORIZONTAL_GREEN,MEDIUM
4,0,2,2,2,2,4,TOP,VERTICAL_GREEN,LOW
5,1,3,2,4,2,6,RIGHT,HORIZONTAL_GREEN,MEDIUM
6,1,2,2,3,2,5,TOP,HORIZONTAL_GREEN,MEDIUM
7,1,2,2,3,2,5,TOP,HORIZONTAL_GREEN,MEDIUM
8,1,1,2,2,2,4,TOP,VERTICAL_GREEN,LOW
9,1,1,2,2,2,4,TOP,VERTICAL_GREEN,LOW
10,1,1,3,2,3,5,TOP,VERTICAL_GREEN,MEDIUM
11,1,1,3,2,3,5,TOP,VERTICAL_GREEN,MEDIUM
12,2,3,3,5,3,8,TOP,HORIZONTAL_GREEN,MEDIUM
13,2,2,3,4,3,7,TOP,HORIZONTAL_GREEN,MEDIUM
14,0,2,3,2,3,5,TOP,VERTICAL_GREEN,MEDIUM
15,0,2,4,2,4,6,TOP,VERTICAL_GREEN,MEDIUM
16,0,2,4,2,4,6,TOP,VERTICAL_GREEN,MEDIUM
17,0,2,4,2,4,6,TOP,VERTICAL_GREEN,MEDIUM
18,0,2,4,2,4,6,TOP,VERTICAL_GREEN,MEDIUM
19,0,2,4,2,4,6,TOP,VERTICAL_GREEN,MEDIUM
20,1,2,4,3,4,7,TOP,VERTICAL_GREEN,MEDIUM
21,1,2,4,3,4,7,TOP,VERTICAL_GREEN,MEDIUM
22,1,2,4,3,4,7,TOP,VERTICAL_GREEN,MEDIUM
23,0,3,4,3,4,7,TOP,VERTICAL_GREEN,MEDIUM
24,0,3,4,3,4,7,TOP,VERTICAL_GREEN,MEDIUM
25,0,3,5,3,5,8,TOP,VERTICAL_GREEN,MEDIUM
26,1,3,5,4,5,9,TOP,VERTICAL_GREEN,MEDIUM
27,1,3,5,4,5,9,TOP,VERTICAL_GREEN,MEDIUM
28,1,3,5,4,5,9,TOP,VERTICAL_GREEN,MEDIUM
29,0,3,5,3,5,8,TOP,VERTICAL_GREEN,MEDIUM
30,0,4,6,4,6,10,TOP,VERTICAL_GREEN,HIGH
31,0,4,6,4,6,10,TOP,VERTICAL_GREEN,HIGH
32,0,4,6,4,6,10,TOP,VERTICAL_GREEN,HIGH
33,0,5,7,5,7,12,TOP,VERTICAL_GREEN,HIGH
34,0,5,7,5,7,12,TOP,VERTICAL_GREEN,HIGH
35,1,5,7,6,7,13,TOP,VERTICAL_GREEN,HIGH
36,1,6,7,7,7,14,TOP,VERTICAL_GREEN,HIGH
37,1,6,7,7,7,14,TOP,VERTICAL_GREEN,HIGH
38,0,7,7,7,7,14,TOP,VERTICAL_GREEN,HIGH
